emp_length,term,annual_income,debt_to_income,total_credit_limit,total_credit_utilized,num_cc_carrying_balance,interest_rate,public_record_bankrupt,has_second_income,total_income,loan_amount
3.0,60,59000.0,0.557525423728814,95131,32894,8,10.9,0,0,59000.0,22000
10.0,36,60000.0,1.30568333333333,51929,78341,2,9.92,1,0,60000.0,6000
4.895833333333333,36,75000.0,1.0562799999999999,301373,79221,14,26.3,0,0,75000.0,25000
0.0,36,75000.0,0.574346666666667,59890,43076,10,9.92,0,0,75000.0,6000
4.0,60,254000.0,0.23814960629921303,422619,60490,2,9.43,0,0,254000.0,25000
6.0,36,67000.0,1.0770447761194,349825,72162,4,9.92,0,0,67000.0,6400
2.0,36,28800.0,0.0997222222222222,15980,2872,1,17.09,0,0,28800.0,3000
10.0,36,80000.0,0.3509125,258439,28073,3,6.08,0,0,80000.0,14500
6.0,60,34000.0,0.6975,87705,23715,10,7.97,0,0,34000.0,10000
3.0,60,80000.0,0.166854166666667,330394,32036,4,12.62,1,1,192000.0,18500
8.0,36,73000.0,0.414328767123288,36182,30246,3,17.09,0,0,73000.0,17000
10.0,36,120000.0,0.798908333333333,452712,95869,4,5.31,0,0,120000.0,12000
10.0,36,100000.0,0.27809,74805,27809,3,7.35,0,0,100000.0,16000
2.0,36,105000.0,0.26819047619047603,279386,28160,2,5.31,0,0,105000.0,16500
5.0,36,34000.0,0.629294117647059,33038,21396,3,7.96,0,0,34000.0,3000
2.0,60,98000.0,1.1071020408163301,319551,108496,6,24.85,0,0,98000.0,29400
5.0,60,68700.0,1.49954876273654,119325,103019,5,18.06,0,0,68700.0,13500
3.0,60,43000.0,0.15465277777777803,60693,22270,4,10.42,0,1,144000.0,18200
3.0,36,100000.0,0.13823,69100,13823,5,7.96,0,0,100000.0,6000
10.0,60,76000.0,0.589815789473684,249700,44826,10,19.42,0,0,76000.0,18000
10.0,36,80000.0,0.737305931763484,136046,124994,1,14.08,0,1,169528.0,5000
10.0,60,50000.0,0.5234166666666671,375828,87934,11,20.0,0,1,168000.0,40000
0.0,36,80000.0,0.7045375,197299,56363,6,9.44,0,0,80000.0,4500
1.0,36,185000.0,0.254675675675676,102500,47115,2,9.92,0,0,185000.0,15000
5.0,60,42000.0,0.0866666666666667,64800,3640,5,10.91,0,0,42000.0,20000
2.0,36,100000.0,0.328196296296296,144700,88613,4,5.32,0,1,270000.0,20000
5.0,36,65000.0,0.242738461538462,256974,15778,7,6.71,0,0,65000.0,10000
5.0,36,45000.0,0.15731111111111098,121323,7079,4,15.04,0,0,45000.0,9000
10.0,60,245000.0,0.167363265306122,495163,41004,6,11.98,0,0,245000.0,35000
0.0,36,50000.0,0.639677083333333,203326,122818,4,12.62,0,1,192000.0,40000
0.0,36,116000.0,0.584396551724138,446850,67790,7,10.91,0,0,116000.0,13125
5.0,36,30000.0,0.512008928571429,190832,57345,6,9.44,0,1,112000.0,32000
4.0,60,80000.0,0.24454128440367,432092,53310,5,9.93,0,1,218000.0,18000
7.0,36,103000.0,0.26583495145631103,124900,27381,5,7.35,0,0,103000.0,30000
5.0,36,58000.0,4.77725862068966,236668,277081,5,18.45,0,0,58000.0,4400
0.0,36,55000.0,0.29909090909090896,35900,16450,12,17.09,0,0,55000.0,7000
4.895833333333333,36,65000.0,0.752246153846154,174860,48896,4,7.96,0,0,65000.0,25000
2.0,36,32000.0,0.72128125,45594,23081,4,6.08,1,0,32000.0,6500
5.0,36,325000.0,0.307750769230769,793009,100019,11,6.71,0,0,325000.0,35000
3.0,36,70000.0,5.33372857142857,272878,373361,2,7.34,0,0,70000.0,7500
10.0,60,160000.0,0.3344,581604,53504,3,12.62,1,0,160000.0,38500
6.0,36,50000.0,1.25744,90398,62872,5,16.02,0,0,50000.0,15000
10.0,60,71000.0,0.7425211267605629,115970,52719,8,10.9,0,0,71000.0,24000
0.0,36,85000.0,0.8187647058823531,131847,69595,3,9.93,0,0,85000.0,24000
5.0,36,87000.0,0.0547241379310345,294946,4761,3,9.44,0,0,87000.0,12800
10.0,36,60000.0,0.731183333333333,64017,43871,5,10.42,0,0,60000.0,6000
0.0,36,58500.0,0.39682051282051295,49234,23214,2,21.45,0,0,58500.0,30000
2.0,36,50000.0,0.50262,39814,25131,4,10.91,0,0,50000.0,5825
2.0,36,103000.0,0.9735922330097091,150027,100280,4,9.43,0,0,103000.0,20000
9.0,36,77500.0,0.6778580645161291,390156,52534,2,6.08,0,0,77500.0,15000
